Parameter Name,Annual Goal,Achieved,Remaining Target,Months Completed,Months Remaining,Required Monthly Target,Achievement %,Status,Trend
Production Volume,120000,95400.0,24600.0,10,2,12300.0,79.5,Monitor,📈 Improving
Sales Revenue,6000000,6745000.0,-745000.0,10,2,-372500.0,112.42,On Track,📈 Improving
Dealer Addition,60,51.0,9.0,10,2,4.5,85.0,On Track,📈 Improving
Customer Complaints,100,248.0,-148.0,10,2,-74.0,248.0,On Track,📈 Improving
Safety Observations,240,200.0,40.0,10,2,20.0,83.33,On Track,📈 Improving
Energy Consumption,45000,232030.0,-187030.0,10,2,-93515.0,515.62,On Track,📈 Improving
Inventory Turnover,8,8.4,-0.4,10,2,-0.2,105.0,On Track,📈 Improving
OTIF Delivery (%),98,130.0,-32.0,10,2,-16.0,132.65,On Track,📈 Improving
Quality Score (%),96,136.0,-40.0,10,2,-20.0,141.67,On Track,📈 Improving
Cost Reduction ($),80000,75400.0,4600.0,10,2,2300.0,94.25,On Track,📈 Improving
